# center_x	center_y	half_width	half_height
3450	31875	450	625
3450	58125	450	625
3450	140625	450	625
3450	148125	450	625
1650	19375	450	625
3450	54375	450	625
5850	74375	450	625
3450	135625	450	625
3450	4375	450	625
3750	138125	450	625
3450	65625	450	625
43350	41875	450	625
3750	36875	450	625
3750	13125	450	625
3750	129375	450	625
3750	115625	450	625
10650	123125	450	625
1350	83125	450	625
3450	1875	450	625
3750	74375	450	625
4050	145625	450	625
3750	9375	450	625
2250	83125	450	625
3750	95625	450	625
5550	115625	450	625
3750	35625	450	625
4050	109375	450	625
2250	16875	450	625
4050	16875	450	625
3750	79375	450	625
1650	123125	450	625
3750	139375	450	625
3750	66875	450	625
11550	31875	450	625
3750	29375	450	625
3750	21875	450	625
3750	144375	450	625
2850	115625	450	625
3750	59375	450	625
3750	131875	450	625
3750	34375	450	625
4350	65625	450	625
4650	115625	450	625
4050	23125	450	625
4050	121875	450	625
4050	91875	450	625
4050	108125	450	625
4050	49375	450	625
4050	14375	450	625
4050	83125	450	625
4050	60625	450	625
4050	90625	450	625
4050	86875	450	625
4050	24375	450	625
4050	10625	450	625
4050	26875	450	625
4050	119375	450	625
4050	71875	450	625
7650	44375	450	625
4050	120625	450	625
4050	96875	450	625
1950	14375	450	625
4050	141875	450	625
4050	3125	450	625
4350	110625	450	625
4350	105625	450	625
4650	66875	450	625
24150	10625	450	625
4350	11875	450	625
4350	98125	450	625
4350	55625	450	625
35850	79375	450	625
4350	51875	450	625
4350	78125	450	625
4350	48125	450	625
2550	44375	450	625
4350	111875	450	625
4350	130625	450	625
4350	33125	450	625
4350	1875	450	625
4350	146875	450	625
4350	15625	450	625
21750	10625	450	625
4350	43125	450	625
4350	58125	450	625
4350	140625	450	625
2850	29375	450	625
19950	10625	450	625
1350	43125	450	625
4350	41875	450	625
4350	40625	450	625
4350	18125	450	625
4350	84375	450	625
4350	63125	450	625
4650	50625	450	625
4650	19375	450	625
3450	15625	450	625
30450	79375	450	625
2850	79375	450	625
3450	105625	450	625
4650	99375	450	625
23250	18125	450	625
1350	60625	450	625
4650	148125	450	625
2250	130625	450	625
3750	19375	450	625
2250	96875	450	625
4650	80625	450	625
15750	71875	450	625
4650	6875	450	625
5250	40625	450	625
22350	11875	450	625
4650	95625	450	625
4650	21875	450	625
4650	70625	450	625
4950	31875	450	625
4950	76875	450	625
4950	119375	450	625
4950	135625	450	625
19050	11875	450	625
6750	44375	450	625
4950	53125	450	625
4950	106875	450	625
4950	61875	450	625
16950	11875	450	625
450	146875	450	625
4950	14375	450	625
4950	131875	450	625
4950	88125	450	625
19050	10625	450	625
3150	53125	450	625
5250	110625	450	625
4950	83125	450	625
4950	68125	450	625
2550	63125	450	625
5850	44375	450	625
4950	89375	450	625
14850	71875	450	625
4950	44375	450	625
5250	84375	450	625
56850	6875	450	625
4950	74375	450	625
4950	108125	450	625
5250	20625	450	625
13950	71875	450	625
8850	108125	450	625
5250	73125	450	625
5250	43125	450	625
5250	116875	450	625
5250	75625	450	625
5250	29375	450	625
1350	31875	450	625
5250	94375	450	625
5250	59375	450	625
5250	16875	450	625
9150	71875	450	625
5250	145625	450	625
5250	65625	450	625
5250	4375	450	625
5250	38125	450	625
5250	101875	450	625
3150	96875	450	625
5250	24375	450	625
4650	79375	450	625
5250	41875	450	625
5250	5625	450	625
5250	26875	450	625
5250	91875	450	625
6150	29375	450	625
5250	120625	450	625
5850	31875	450	625
9450	131875	450	625
5850	119375	450	625
5250	139375	450	625
5250	69375	450	625
5250	125625	450	625
5250	51875	450	625
5550	93125	450	625
5550	111875	450	625
5550	49375	450	625
6450	111875	450	625
5550	129375	450	625
5550	105625	450	625
55950	6875	450	625
5550	78125	450	625
1350	146875	450	625
5550	90625	450	625
5550	114375	450	625
5550	130625	450	625
3150	90625	450	625
3150	71875	450	625
3450	43125	450	625
5550	138125	450	625
5550	100625	450	625
5550	8125	450	625
5550	9375	450	625
5550	36875	450	625
3450	75625	450	625
7650	38125	450	625
5550	103125	450	625
5850	135625	450	625
5550	60625	450	625
3450	73125	450	625
5550	71875	450	625
2850	131875	450	625
5550	54375	450	625
4950	10625	450	625
6150	120625	450	625
16050	11875	450	625
5550	15625	450	625
5850	76875	450	625
5850	63125	450	625
5850	88125	450	625
5850	13125	450	625
6450	130625	450	625
5850	68125	450	625
5850	14375	450	625
2550	93125	450	625
5850	30625	450	625
3150	49375	450	625
4350	69375	450	625
7050	5625	450	625
5850	81875	450	625
6150	5625	450	625
4350	94375	450	625
